M0_Ftr0_v,M0_Ftr1_v,M0_Ftr2_v,M0_Ftr3_v,M0_Ftr4_v,M1_Ftr5_v,M1_Ftr6_v,M1_Ftr7_v,M2_Ftr8_v,Result
1.51,3530.41,497.49,185.88,367.26,50.26,175.15,408.33,196467.8,Success
1.75,3283.73,399.47,168.46,258.39,48.11,194.22,288.25,205376.95,Fail
1.72,3640.19,420.72,192.28,414.85,46.66,197.96,416.78,209050.14,Success
1.33,3517.8,386.84,197.22,417.74,53.87,173.33,475.88,208227.32,Success
1.74,3496.91,489.02,203.47,449.47,51.48,188.19,311.92,189803.86,Success
1.97,3747.9,569.44,166.6,341.41,51.93,192.55,404.79,194916.85,Fail
1.54,3774.67,530.51,183.75,405.21,51.71,191.76,365.8,198216.07,Success
1.49,3697.25,379.52,183.49,338.38,58.27,189.15,438.47,193668.79,Success
1.8,3981.41,370.31,136.67,431.42,51.78,173.88,465.63,184491.92,Fail
1.37,3523.99,434.75,161.38,366.16,52.45,196.45,367.85,206957.38,Success
1.46,3673.62,465.12,114.44,358.93,55.47,194.58,346.57,187764.9,Fail
1.59,3356.01,421.73,169.49,404.05,42.24,187.81,419.57,189325.88,Success
1.38,3517.35,447.52,210.1,453.19,58.24,187.7,445.74,219731.77,Success
1.47,3653.33,477.3,214.89,437.58,57.27,195.23,367.39,202981.64,Success
1.43,3327.18,478.3,186.87,431.79,60.57,188.95,428.85,191230.89,Fail
1.9,3216.7,524.6,167.19,391.58,46.19,191.21,355.64,193864.37,Success
1.57,3456.78,486.18,163.89,406.16,50.57,191.64,388.57,186336.04,Success
1.78,3601.0,439.2,217.54,427.17,47.93,201.87,364.2,216579.19,Success
1.42,3784.92,407.31,147.08,396.68,45.83,186.64,370.62,193879.06,Success
1.44,3473.04,421.21,180.14,443.13,45.49,194.61,439.31,204145.33,Success
1.35,3547.53,519.01,114.42,437.66,51.85,184.74,392.34,208582.86,Fail
1.71,3325.2,432.8,129.51,392.47,51.85,185.52,415.87,189251.4,Success
1.72,3154.46,377.68,159.22,428.41,55.22,194.94,429.83,203048.66,Success
1.99,3573.96,466.17,144.66,421.83,57.23,185.3,387.02,184913.73,Success
1.57,3541.19,504.6,126.53,391.44,47.29,199.6,360.27,188309.81,Success
1.4,3514.09,512.44,188.25,266.58,55.79,204.72,316.42,201420.93,Fail
1.05,3507.22,428.05,182.01,426.5,51.18,189.72,394.91,212329.71,Fail
1.31,3531.13,349.75,157.35,398.14,53.76,188.48,370.95,197749.07,Fail
1.62,3405.63,465.16,279.67,526.54,49.85,202.98,426.48,205972.2,Fail
1.53,3428.79,440.1,173.77,393.23,36.95,192.36,466.08,199528.12,Fail
1.45,3822.09,432.06,169.14,391.18,46.13,189.58,426.83,195532.05,Success
1.57,3646.4,386.08,120.49,412.64,48.42,197.79,454.08,197865.08,Success
1.39,3426.5,426.18,187.89,403.57,53.19,192.98,436.78,197798.96,Success
1.39,3301.26,481.26,105.03,399.03,44.14,190.65,416.85,210067.58,Fail
1.64,3351.65,361.56,185.81,487.36,42.41,200.5,415.86,209022.51,Success
1.49,3631.45,450.56,144.6,436.89,45.34,206.82,250.94,181487.81,Fail
1.66,3614.57,540.36,215.31,407.54,52.7,196.33,427.7,201125.34,Success
1.46,3642.88,429.42,116.84,400.73,49.61,191.42,417.45,204100.57,Fail
1.72,3959.04,502.05,224.11,317.05,50.22,189.32,334.95,199976.81,Fail
1.29,3388.4,444.57,172.62,449.26,46.07,184.51,321.76,204872.05,Success
1.65,3602.14,474.52,138.45,414.97,49.71,205.46,405.69,202803.94,Success
1.57,3770.2,427.89,173.9,367.1,57.48,186.9,391.0,193055.67,Success
1.38,3368.62,499.16,126.32,421.77,47.26,185.15,361.73,216484.17,Success
1.73,3527.68,478.33,127.64,466.84,52.43,182.44,340.65,205421.13,Success
1.64,3352.22,419.94,149.45,378.14,53.85,200.58,419.59,185441.17,Success
1.3,3772.04,431.92,198.69,390.67,56.8,189.16,302.47,206779.43,Success
1.78,3607.48,454.31,200.41,284.68,55.54,198.31,326.07,216706.29,Fail
1.6,3952.98,474.32,128.35,391.36,49.21,200.85,329.11,200076.5,Fail
1.57,3426.9,482.01,163.94,413.5,40.57,203.93,353.78,204684.55,Success
1.65,3385.64,505.22,223.2,375.56,50.42,192.87,354.35,176125.68,Fail
1.74,3574.29,526.91,114.24,425.1,56.99,187.76,443.5,206624.8,Fail
1.43,3174.53,491.7,232.08,413.04,51.38,187.17,446.68,174501.58,Fail
1.67,3571.42,483.2,140.92,374.58,56.48,193.39,336.74,222632.85,Fail
1.97,3342.27,453.49,213.25,360.38,40.36,199.18,378.93,216947.23,Success
1.63,3468.22,504.8,187.06,336.35,59.54,176.61,529.78,203268.81,Fail
2.07,3278.12,533.07,160.22,430.02,42.54,204.19,408.01,201751.26,Fail
1.96,3284.95,399.25,210.38,438.33,55.61,193.01,332.5,193397.84,Success
1.69,3381.14,488.66,182.5,509.26,55.12,184.5,383.11,226503.94,Fail
1.39,3561.65,505.53,156.56,419.48,56.38,196.08,396.18,204466.49,Success
1.92,3733.82,444.05,134.67,350.54,53.59,180.14,389.03,209757.22,Success
1.7,3722.98,447.58,172.2,449.02,49.11,196.7,401.54,196181.13,Success
1.3,3261.39,505.75,177.91,407.69,50.28,167.89,416.08,197184.25,Fail
2.02,3567.97,481.69,254.01,376.68,53.56,186.3,435.57,213363.82,Fail
1.35,3342.4,418.8,173.19,338.76,51.63,175.38,401.97,200752.08,Success
1.92,3503.81,447.28,182.71,390.04,49.74,203.41,480.42,198938.31,Success
1.7,3408.01,502.61,183.16,449.71,50.03,188.68,359.27,194091.42,Success
1.38,4012.99,477.04,190.95,333.04,49.36,182.39,437.76,196871.82,Fail
1.4,3227.85,500.52,146.45,342.74,54.55,179.34,360.26,210510.93,Success
1.44,3357.13,532.31,163.04,361.44,45.21,205.89,416.97,195097.81,Success
1.41,3550.04,428.22,170.04,387.85,61.46,206.74,347.41,202384.65,Fail
1.68,3488.48,422.63,160.82,468.6,46.58,188.08,400.89,188497.97,Success
1.66,2893.9,447.77,204.53,390.93,48.75,187.46,406.23,178250.54,Fail
1.79,3440.33,360.18,141.68,437.24,44.6,203.99,414.86,194404.55,Success
1.57,3342.11,451.42,181.75,366.59,59.37,193.91,302.4,187418.2,Success
1.68,3541.34,404.78,174.63,406.13,51.62,175.33,432.47,212029.15,Success
1.79,3332.45,448.11,201.39,394.38,56.62,184.65,397.28,192240.34,Success
1.5,3491.27,439.68,189.08,424.35,53.56,183.73,436.47,200955.16,Success
1.49,3545.68,493.93,169.44,368.4,40.71,196.97,387.0,204660.69,Success
1.96,3640.62,463.53,203.56,422.85,51.59,188.24,352.76,189902.03,Success
1.82,3385.66,444.25,186.84,402.89,45.95,179.03,448.49,195396.14,Success
1.58,3517.68,465.67,212.62,537.42,51.09,205.02,442.2,192714.09,Fail
1.58,3357.56,458.34,225.07,444.92,44.25,192.69,437.24,192065.99,Success
1.42,3419.99,479.53,197.32,389.75,50.66,199.71,489.18,204260.54,Success
1.46,3533.04,410.36,176.49,416.91,53.33,196.03,493.0,215266.86,Success
1.55,3236.71,449.36,176.97,474.77,53.35,195.84,365.6,189734.23,Success
1.68,3693.02,441.49,213.46,420.02,54.39,185.97,414.73,198867.73,Success
1.59,3580.64,425.27,150.48,343.37,47.28,176.52,387.69,210633.66,Success
1.49,3303.54,552.35,164.3,421.42,53.04,184.3,402.62,213090.09,Fail
1.99,3045.21,370.51,202.6,327.08,44.33,184.4,399.84,216657.5,Fail
1.78,3087.76,340.91,183.96,447.37,56.16,203.81,437.14,210064.44,Fail
1.6,3504.08,420.18,157.21,483.51,53.56,181.69,384.72,187831.51,Success
1.55,3644.69,432.73,174.42,430.43,45.03,191.49,382.01,200243.77,Success
1.53,3328.3,420.5,165.06,422.3,56.49,198.15,336.23,214501.89,Success
1.66,3320.03,474.05,186.4,363.43,53.44,192.47,348.07,190515.27,Success
1.52,3625.25,491.59,232.75,336.91,51.38,186.1,365.47,208189.38,Success
1.72,3418.66,352.36,161.78,322.08,56.2,207.12,421.04,191217.02,Success
